perm,run,tag,regime_id,cycle,phase,null_beta1_birth_area,n_edges,n_nodes
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.35029308355078487,16662,5968
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.35036597643595746,16662,5968
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.3518758916355114,16662,5968
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.3530174720875684,16662,5968
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.35015186721773084,16662,5968
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.35163209776778687,16662,5968
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.3499606770653637,16662,5968
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.3507555995781646,16662,5968
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.34926998525354563,16662,5968
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.34933458585618604,16662,5968
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.3500762929478927,16662,5968
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.3533390194751375,16662,5968
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.3503282893376406,16662,5968
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.3505291604538492,16662,5968
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.3548866186228618,16662,5968
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.3500449608233341,16662,5968
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.35277279628977243,16662,5968
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.3544126224231808,16662,5968
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.34877725894230244,16662,5968
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.3531932009615567,16662,5968
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.3554193128233012,16662,5968
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.35151350049546026,16662,5968
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.3496762386902301,16662,5968
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.35024701036455197,16662,5968
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,0.3493898919045433,16662,5968
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.248495574505272,7243,4814
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.24944896101916314,7243,4814
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.2530592399116189,7243,4814
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.25008634767527427,7243,4814
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.2504942510005249,7243,4814
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.24896780972842253,7243,4814
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.25239282980194466,7243,4814
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.2502238305577946,7243,4814
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.24678034550401634,7243,4814
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.24998841799483168,7243,4814
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.2503797794538014,7243,4814
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.2497246249036268,7243,4814
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.2492891796963655,7243,4814
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.24926030674060579,7243,4814
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.25490799755384824,7243,4814
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.24901686267479417,7243,4814
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.2505031757813754,7243,4814
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.2493740625308286,7243,4814
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.25029425219411394,7243,4814
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.24586349063328694,7243,4814
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.2522034177085283,7243,4814
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.24862539440370598,7243,4814
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.24875609046161434,7243,4814
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.24907107942969914,7243,4814
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,0.24916853279994444,7243,4814
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.4117304526982275,25857,7271
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.41131196596045505,25857,7271
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.4117024061768584,25857,7271
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.4098326673350723,25857,7271
