null_index,delta_r2_null
0,0.0020362351305460713
1,0.00833421405348922
2,0.004565489790842814
3,0.000770074069847082
4,0.002997194759105537
5,0.0008753972391681852
6,0.004235309611576699
7,0.0010139288160941895
8,0.001868207060718441
9,0.004376353169547542
10,0.003524682193414397
11,0.00564668553176273
12,0.005921812666428328
13,0.004333912935876372
14,0.003528861544263906
15,0.004082226690925506
16,0.00010753361229365321
17,0.002354827807302784
18,0.003296878177059037
19,0.0020947028700705195
20,0.008394641922092494
21,0.0018945722867550474
22,0.0029556511868468194
23,0.004260112694613238
24,0.0008086132413721581
25,0.005902850633801582
26,0.002367240360435008
27,0.006836865321545149
28,0.004819652804625374
29,0.00407063059058177
30,0.0057555023942080785
31,0.006905797734145236
32,0.007082759003266714
33,0.005920899724590867
34,0.004144754510386872
35,0.005614883189429265
36,0.005282599431716717
37,0.003994053946313358
38,0.004847988416603721
39,0.0006280768783540891
40,0.004423585066039237
41,0.005644240426662339
42,0.0031292849175340587
43,0.003889265184754742
44,0.008868013748285608
45,0.003475258413393134
46,0.001746811074345489
47,0.003940076264187131
48,0.0010150565073701046
49,0.003131015841044138
50,0.0014466314665886326
51,0.0010266626225573505
52,0.012081738052915125
53,0.005675084744513614
54,0.005410102401100514
55,0.005850122928408141
56,0.002538347096322946
57,0.0066370326268198054
58,0.0031444325159637465
59,0.0018020062949211102
60,0.007311688504081482
61,0.002536890727195984
62,0.001529549033413069
63,0.0020678260946901394
64,0.003353474201811202
65,0.006000901476544862
66,0.0029258633530284683
67,0.0018848827715913785
68,0.004360337329096908
69,0.0024888163223296678
70,0.0006759998056869998
71,0.006081581925817869
72,0.0022072395652421584
73,0.005677897700696044
74,0.006438962233251244
75,0.0009539785102584686
76,0.0029979237447620433
77,0.004195436082239712
78,0.004405575872387768
79,0.008147824706080442
80,0.00459708481660015
81,0.002858191421352796
82,0.00393633761857648
83,0.002438268600637561
84,0.0027138759940573687
85,0.0017046126817441554
86,0.0026708172500906624
87,0.0009887337657673578
88,0.0009831586604979181
89,0.0036389005641936922
90,0.010405919322807322
91,0.006134393111670522
92,0.004797947452849782
93,0.0017485876867989747
94,0.001033498757038065
95,0.0021704015761566664
96,0.003430902374193079
97,0.0055741285141155394
98,0.004328476902330958
99,0.0007655622823290464
100,0.007292869149254644
101,0.003106510220863501
102,0.0014153962400682563
103,0.007542885344225092
104,0.0062966135445894356
105,0.0016744915502807656
106,0.003233757476834298
107,0.003884576075390056
108,0.005894842823878421
109,0.006377573962208172
110,0.0009367191710648592
111,0.002206761084645792
112,0.0032435438038014297
113,0.003742802881510743
114,0.011130004708954977
115,0.004417462444650133
116,0.0025902264329020763
117,0.0019337337991582881
118,0.002480579712462294
119,0.0029154955252640447
