sample,mean_abs_route_spearman,kind
-1,0.8028031145717464,observed_modal_direction
0,0.6766184649610678,random_direction
1,0.799777530589544,random_direction
2,0.6815127919911013,random_direction
3,0.78678531701891,random_direction
4,0.7515461624026696,random_direction
5,0.4210456062291434,random_direction
6,0.5553281423804226,random_direction
7,0.5527474972191324,random_direction
8,0.713726362625139,random_direction
9,0.4650055617352614,random_direction
10,0.5676974416017797,random_direction
11,0.7349054505005561,random_direction
12,0.8034260289210234,random_direction
13,0.6344382647385984,random_direction
14,0.6689655172413793,random_direction
15,0.7670300333704116,random_direction
16,0.49997775305895437,random_direction
17,0.5216017797552837,random_direction
18,0.7110567296996663,random_direction
19,0.5789098998887653,random_direction
20,0.46242491657397106,random_direction
21,0.6813348164627363,random_direction
22,0.6013348164627363,random_direction
23,0.6844493882091213,random_direction
24,0.5515906562847607,random_direction
25,0.6095216907675194,random_direction
26,0.7628476084538376,random_direction
27,0.7831368186874306,random_direction
28,0.7597330367074526,random_direction
29,0.7347274749721913,random_direction
30,0.742202447163515,random_direction
31,0.6348832035595106,random_direction
32,0.5151056729699666,random_direction
33,0.7249388209121246,random_direction
34,0.657575083426029,random_direction
35,0.6547274749721913,random_direction
36,0.6558843159065628,random_direction
37,0.7032258064516128,random_direction
38,0.7505672969966628,random_direction
39,0.663893214682981,random_direction
40,0.7031368186874304,random_direction
41,0.8272747497219133,random_direction
42,0.6899666295884318,random_direction
43,0.6967296996662959,random_direction
44,0.7737931034482758,random_direction
45,0.7046496106785317,random_direction
46,0.6273192436040044,random_direction
47,0.6572191323692993,random_direction
48,0.5709899888765294,random_direction
49,0.6606896551724137,random_direction
50,0.6184204671857619,random_direction
51,0.7380200222469411,random_direction
52,0.6731479421579534,random_direction
53,0.6099666295884315,random_direction
54,0.6222469410456062,random_direction
55,0.7140823136818687,random_direction
56,0.7648943270300335,random_direction
57,0.5040711902113459,random_direction
58,0.5926140155728588,random_direction
59,0.7551056729699667,random_direction
60,0.6570411568409342,random_direction
61,0.7962180200222468,random_direction
62,0.6589098998887654,random_direction
63,0.6242046718576195,random_direction
64,0.8229143492769744,random_direction
65,0.6607786429365963,random_direction
66,0.6523248053392658,random_direction
