test,null_index,delta_r2_null
loop_number,0,0.00011831308695775533
loop_number,1,0.0011500464913150044
loop_number,2,0.0008390614855082745
loop_number,3,1.649592350050355e-06
loop_number,4,0.00047213715446647875
loop_number,5,0.002838362864902355
loop_number,6,0.00125966169016678
loop_number,7,0.001179466109470062
loop_number,8,0.003922637606920243
loop_number,9,0.0018979511980636854
loop_number,10,0.0006980733483040735
loop_number,11,0.0013224175968823415
loop_number,12,0.0005223661745761277
loop_number,13,0.0004425148700430981
loop_number,14,0.000824056309327803
loop_number,15,0.0026745640710071905
loop_number,16,3.8365495642622705e-06
loop_number,17,0.004312793536556003
loop_number,18,0.004030749423700852
loop_number,19,0.0002662912780981852
loop_number,20,0.0011396655612542217
loop_number,21,4.8810658335174395e-05
loop_number,22,0.0018564823814956055
loop_number,23,0.0009487331928961229
loop_number,24,0.0005559487837253352
loop_number,25,0.00380964236602932
loop_number,26,0.0035290842985896687
loop_number,27,0.002906001317728002
loop_number,28,0.00015966590381544243
loop_number,29,0.0006044178350766982
loop_number,30,0.003946457431846628
loop_number,31,0.0059287663792895184
loop_number,32,3.357357693678509e-05
loop_number,33,0.0009667975435503351
loop_number,34,0.001559428928562312
loop_number,35,0.0016932896160779531
loop_number,36,6.289703635120603e-05
loop_number,37,0.0009009243261641764
loop_number,38,0.0004926547698251849
loop_number,39,0.00222541820005262
loop_number,40,0.0012854162236005662
loop_number,41,0.0011639639055417428
loop_number,42,0.0029651136897830277
loop_number,43,0.0002208389684388301
loop_number,44,0.00015073375983731818
loop_number,45,0.00491552737955725
loop_number,46,0.0008527911367317564
loop_number,47,8.476781815613954e-05
loop_number,48,0.0032833462478067954
loop_number,49,0.0008042175616731484
loop_number,50,0.0001203124674892253
loop_number,51,1.2786425116484423e-06
loop_number,52,0.0008938586014631822
loop_number,53,1.8601395991302283e-05
loop_number,54,0.004522791955655192
loop_number,55,0.006751641584678114
loop_number,56,0.0009069476337801863
loop_number,57,0.00018217281490839898
loop_number,58,7.726626100812428e-05
loop_number,59,0.0013220003300544736
loop_number,60,0.0010019110486475524
loop_number,61,1.8924241543816223e-06
loop_number,62,0.0010423260504799359
loop_number,63,0.0006041141945762885
loop_number,64,2.140854037535611e-05
loop_number,65,0.0001966381756689506
loop_number,66,0.003127402333255369
loop_number,67,0.0017195588891187885
loop_number,68,0.005164731277257362
loop_number,69,0.0030797012940982915
loop_number,70,0.005224372176674041
loop_number,71,0.0050076227686055574
loop_number,72,0.001153072786366116
loop_number,73,0.006369635765701154
loop_number,74,0.00025871817162270716
loop_number,75,0.00617612683922053
loop_number,76,0.003310887813334995
loop_number,77,0.0009220301110757223
loop_number,78,0.0009368981097938045
loop_number,79,5.045559050120829e-06
loop_number,80,1.1754116924223013e-07
loop_number,81,0.001032856994543585
loop_number,82,0.0016531683586392676
loop_number,83,0.005772340158471945
loop_number,84,0.004488264593687008
loop_number,85,0.0021615006807521597
loop_number,86,0.002450080061701332
loop_number,87,0.0011917692645415645
loop_number,88,0.0064092161132163206
loop_number,89,0.001171167687725072
loop_number,90,0.001336103775455122
loop_number,91,0.0007263121577357756
loop_number,92,1.4648264158090285e-05
loop_number,93,0.001261149963828867
loop_number,94,0.002225859111606443
loop_number,95,0.0035998397788784553
loop_number,96,0.0009283596426636898
loop_number,97,0.001599534827644078
loop_number,98,0.003445188348265127
loop_number,99,0.006753422594283465
loop_number,100,0.0013378245030416513
loop_number,101,0.000596088277900586
loop_number,102,8.532634916469384e-05
loop_number,103,0.0011076860636130004
